Nom du Produit,Type,Plant?,Catégorie,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
"Graine de chanvre, Champagne, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.5554827227274822,5.5966461173678816e-08,0.02753984305232468,0.003677145249845481,1.3429500164810043e-07,0.020962765103095683,0.0005069667062953987,0.014627985110055648,0.09383237197493861,9.603710199177177,630.2470864224288,0.09832531554110968,4.264868160595382,1.5947799870617096e-06,0.5551851777402436,0.000172241914235236,0.00012530307300349458
"Chanvre, paille, Champagne, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.09982968180620092,1.0046764210423352e-08,0.004943963395234025,0.0006598124243307386,2.4179351139958295e-08,0.0037731070489997495,9.12033454030254e-05,0.002629408753795988,0.016888447282253586,1.7294895769669896,113.25297799060553,0.017666236355710064,0.7656890443451863,2.864099746761092e-07,0.09977623727080581,3.093935483567294e-05,2.2505180559452737e-05
"riz Jasmine, moyenne nationale, à la  de la ferme / TH U",conv,1,Agricultural\Plant production\Cereals\Transformation,4.3401500126974,7.18754560842299e-08,0.030712400330044604,0.0037854830771777057,3.6783793057552453e-07,0.053242968323909276,0.004992344102905921,0.039411131363153704,0.23423177924068725,0.974113721950363,182.32855644241295,9.729464386938723,7.05032760552749,1.8551483124960961e-06,0.6738209104732606,3.6659383738371374,0.00039072838700300496
"Maïs grain, conventionnel, 28% d'humidité, moyenne nationale, l'alimentation animale, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.2530516941390474,2.4892782696777362e-08,0.0451544784256173,0.0010130494561878243,5.3488762402701195e-08,0.0081502096719103,0.00010008765912770979,0.003339206941468155,0.03596274721514466,2.0258784072656546,124.8623277184282,2.768396301700867,2.1969923087512226,4.5184212406298e-07,0.2528538518625074,8.973155113755543e-05,0.00010811072540244126
"Maïs grain,, conventionnel, 28% d'humidité, moyenne nationale, avec l'empreinte de l'eau, l'alimentation animale, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.2551505160226667,2.366004487739245e-08,0.030904521441601256,0.002346303430816827,7.312324212409322e-08,0.011926602103662514,9.915384274115032e-05,0.003942363127959067,0.05411544332406166,2.024040749888758,124.84909643031776,3.0600262417557804,1.896429261471238,4.391189364831374e-07,0.25495917703863546,8.441417126714227e-05,0.00010692481276410439
"Avoine, moyenne nationale, aliments pour animaux, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.36817097017265316,2.4365431777715154e-08,0.011322975440390152,0.0015467384214002764,5.839738488976851e-08,0.0091861099081429,0.00017843245128332767,0.007054035516484287,0.040796676164951785,0.9950302738648646,268.347003017895,0.10169140023993221,2.072069427305043,6.325409068275994e-07,0.36793026357798053,0.0001106196691664464,0.00013008692550614293
"Blé tendre, moyenne à partir de 11 cas d'études optimisés, scénario de base, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.3058969474972891,2.3469463436297458e-08,0.012740087317529177,0.0012024082610935765,4.1208317723930174e-08,0.006448962193431785,0.00010153078175735718,0.00487705576625871,0.02820788638360197,1.9895995753138869,155.86083994160387,0.29037083078834547,1.9992850567318807,5.458500474155244e-07,0.30563297909651527,0.0001112563566626861,0.0001527120441111833
"Blé tendre, moyenne à partir de 11 cas d'études optimisés, levier légumineuse dans rotation, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.28542382732095106,2.2138246775899526e-08,0.012063957456998245,0.0011261357572615652,3.801022599314495e-08,0.005956364263945522,9.719728963018625e-05,0.00494322950575608,0.026016917924740975,2.3638082232102477,179.74364612712512,0.2749974587702304,1.854286528023334,5.05904260192587e-07,0.28517823477455134,0.00010229425295887648,0.00014329829344085978
"Blé tendre, moyenne à partir de 11 cas d'études optimisés, levier culture intermédiaire systématique du scénario, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.3105359106804797,2.4290720349626705e-08,0.013112378682091905,0.001270639113783352,4.40968804677178e-08,0.006913727163219731,0.00010119287301154031,0.004009036418796841,0.030301683105953478,2.3832552305634755,155.83263288505185,0.28947158716688914,2.0551840384043656,5.621531813763953e-07,0.310275466025611,0.00011100366294446658,0.00014944099192417502
"Blé tendre, conventionnel, panifiable, 15% d'humidité, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.29982523614907164,2.158037512958642e-08,0.011299450937830198,0.0013461116298468915,4.583426138408835e-08,0.0072188861543615495,0.00011151570034212101,0.005101343112397777,0.0319071579535305,1.6711038548219492,174.9119618290882,0.17963642700313143,1.6893444628772913,5.096885264912812e-07,0.29954621262850245,9.986129058200895e-05,0.0001791622299872318
